Id,X,Y,Range,Battery,Energy use out,Parent,Send tries,Send fails,Send success rate,Battery average,Lifetime
s1,5,5,100,0.88,10,r1,137,0,100.00,5.305491720417769,137
s2,10,10,100,0.66,10,r1,104,0,100.00,5.674240741532841,104
